Temperature, Et, tn0, k, chi2
453, 0.120226, 1.04192e-07, 1533.95, 0.000420285
453, 0.131035, 1.37386e-07, 1163.09, 0.000420285
453, 0.141844, 1.81135e-07, 881.931, 0.000420285
453, 0.152652, 2.38782e-07, 668.773, 0.000420285
453, 0.163461, 3.14718e-07, 507.169, 0.000420285
453, 0.17427, 4.14701e-07, 384.65, 0.000420285
453, 0.185079, 5.46274e-07, 291.765, 0.000420285
453, 0.195887, 7.1929e-07, 221.344, 0.000420285
453, 0.206696, 9.4658e-07, 167.955, 0.000420285
453, 0.217505, 1.24479e-06, 127.479, 0.000420285
453, 0.228313, 1.63539e-06, 96.7928, 0.000420285
453, 0.239122, 2.1459e-06, 73.5282, 0.000420285
453, 0.249931, 2.81119e-06, 55.8903, 0.000420285
453, 0.260739, 3.67499e-06, 42.5184, 0.000420285
453, 0.271548, 4.7911e-06, 32.3806, 0.000420285
453, 0.282357, 6.22423e-06, 24.6947, 0.000420285
453, 0.293165, 8.04972e-06, 18.8677, 0.000420285
453, 0.303974, 1.03514e-05, 14.4501, 0.000420285
453, 0.314783, 1.32164e-05, 11.1009, 0.000420285
453, 0.325591, 1.6726e-05, 8.56173, 0.000420285
453, 0.3364, 2.09423e-05, 6.63669, 0.000420285
453, 0.347209, 2.58901e-05, 5.17725, 0.000420285
453, 0.358018, 3.15395e-05, 4.07078, 0.000420285
453, 0.368826, 3.77912e-05, 3.23193, 0.000420285
453, 0.379635, 4.44749e-05, 2.59596, 0.000420285
453, 0.390444, 5.13615e-05, 2.1138, 0.000420285
453, 0.401252, 5.8193e-05, 1.74826, 0.000420285
453, 0.412061, 6.47192e-05, 1.47113, 0.000420285
453, 0.42287, 7.07331e-05, 1.26103, 0.000420285
453, 0.433678, 7.60939e-05, 1.10174, 0.000420285
453, 0.444487, 8.07327e-05, 0.980979, 0.000420285
453, 0.455296, 8.46447e-05, 0.889425, 0.000420285
453, 0.466104, 8.78728e-05, 0.820014, 0.000420285
453, 0.476913, 9.04892e-05, 0.76739, 0.000420285
453, 0.487722, 9.2579e-05, 0.727494, 0.000420285
453, 0.49853, 9.42289e-05, 0.697248, 0.000420285
453, 0.509339, 9.55194e-05, 0.674317, 0.000420285
453, 0.520148, 9.65216e-05, 0.656932, 0.000420285
453, 0.530957, 9.72955e-05, 0.643752, 0.000420285
453, 0.541765, 9.78906e-05, 0.63376, 0.000420285
453, 0.552574, 9.83465e-05, 0.626186, 0.000420285
453, 0.563383, 9.86951e-05, 0.620443, 0.000420285
453, 0.574191, 9.89609e-05, 0.61609, 0.000420285
453, 0.585, 9.91634e-05, 0.612791, 0.000420285
453, 0.595809, 9.93173e-05, 0.61029, 0.000420285
453, 0.606617, 9.94343e-05, 0.608396, 0.000420285
453, 0.617426, 9.95231e-05, 0.606961, 0.000420285
453, 0.628235, 9.95903e-05, 0.605876, 0.000420285
453, 0.639043, 9.96412e-05, 0.605056, 0.000420285
453, 0.649852, 9.96795e-05, 0.604439, 0.000420285
453, 0.660661, 9.97083e-05, 0.603976, 0.000420285
453, 0.67147, 9.97297e-05, 0.603632, 0.000420285
453, 0.682278, 9.97454e-05, 0.60338, 0.000420285
453, 0.693087, 9.97565e-05, 0.603201, 0.000420285
453, 0.703896, 9.97639e-05, 0.603082, 0.000420285
453, 0.714704, 9.97683e-05, 0.603012, 0.000420285
453, 0.725513, 9.97699e-05, 0.602986, 0.000420285
453, 0.736322, 9.97688e-05, 0.603004, 0.000420285
453, 0.74713, 9.9765e-05, 0.603065, 0.000420285
453, 0.757939, 9.97582e-05, 0.603174, 0.000420285
453, 0.768748, 9.97478e-05, 0.603341, 0.000420285
453, 0.779556, 9.9733e-05, 0.603578, 0.000420285
453, 0.790365, 9.97128e-05, 0.603904, 0.000420285
453, 0.801174, 9.96855e-05, 0.604344, 0.000420285
453, 0.811982, 9.96489e-05, 0.604932, 0.000420285
453, 0.822791, 9.96003e-05, 0.605715, 0.000420285
453, 0.8336, 9.95358e-05, 0.606756, 0.000420285
453, 0.844409, 9.94503e-05, 0.608137, 0.000420285
453, 0.855217, 9.9337e-05, 0.609971, 0.000420285
453, 0.866026, 9.91868e-05, 0.612409, 0.000420285
453, 0.876835, 9.89874e-05, 0.615657, 0.000420285
453, 0.887643, 9.87224e-05, 0.619994, 0.000420285
453, 0.898452, 9.83692e-05, 0.625811, 0.000420285
453, 0.909261, 9.78971e-05, 0.633652, 0.000420285
453, 0.920069, 9.7263e-05, 0.644301, 0.000420285
453, 0.930878, 9.64066e-05, 0.658908, 0.000420285
453, 0.941687, 9.52405e-05, 0.679219, 0.000420285
453, 0.952495, 9.36353e-05, 0.708007, 0.000420285
453, 0.963304, 9.1392e-05, 0.749931, 0.000420285
453, 0.974113, 8.819e-05, 0.813467, 0.000420285
453, 0.984921, 8.34789e-05, 0.91581, 0.000420285
453, 0.99573, 7.62288e-05, 1.09802, 0.000420285
453, 1.00654, 6.42619e-05, 1.48872, 0.000420285
453, 1.01735, 4.20276e-05, 2.80535, 0.000420285
453, 1.02816, 1.77059e-07, 885.894, 0.000426101
453, 1.03896, -0.000247904, -1.64513, 0.000420285
453, 1.04977, 0.000642634, -0.751134, 0.000420285
453, 1.06058, 0.000284332, -0.437525, 0.000420285
453, 1.07139, 0.000222788, -0.282145, 0.000420285
453, 1.0822, 0.000197967, -0.192141, 0.000420285
453, 1.09301, 0.000184941, -0.135238, 0.000420285
453, 1.10382, 0.000177158, -0.097249, 0.000420285
453, 1.11463, 0.000172145, -0.0709579, 0.000420285
453, 1.12543, 0.000168757, -0.052306, 0.000420285
443, 0.0430147, 1.47889e-08, 10705.9, 0.000390963
443, 0.0538544, 1.96441e-08, 8059.6, 0.000390963
443, 0.0646941, 2.60927e-08, 6067.47, 0.000390963
443, 0.0755338, 3.46576e-08, 4567.78, 0.000390963
443, 0.0863735, 4.60325e-08, 3438.81, 0.000390963
443, 0.0972133, 6.11383e-08, 2588.92, 0.000390963
443, 0.108053, 8.11968e-08, 1949.11, 0.000390963
443, 0.118893, 1.07829e-07, 1467.47, 0.000390963
443, 0.129732, 1.43182e-07, 1104.88, 0.000390963
443, 0.140572, 1.90104e-07, 831.927, 0.000390963
443, 0.151412, 2.52362e-07, 626.445, 0.000390963
