Temperature, Et, tn0, k, chi2
200, 0.0916316, -7.54609e-15, -520015, 3.8739e-06
200, 0.103105, 7.91131e-11, 47.6519, 1.08851e-19
200, 0.114579, 1.37901e-10, 26.9113, 1.08851e-19
200, 0.126053, 2.23095e-10, 16.2527, 1.08851e-19
200, 0.137526, 3.26869e-10, 10.7754, 1.08851e-19
200, 0.149, 4.29549e-10, 7.96056, 1.08851e-19
200, 0.160474, 5.1224e-10, 6.51405, 1.08851e-19
200, 0.171947, 5.68479e-10, 5.7707, 1.08851e-19
200, 0.183421, 6.02471e-10, 5.38869, 1.08851e-19
200, 0.194895, 6.2157e-10, 5.19238, 1.08851e-19
200, 0.206368, 6.31865e-10, 5.0915, 1.08851e-19
200, 0.217842, 6.37288e-10, 5.03965, 1.08851e-19
200, 0.229316, 6.40112e-10, 5.01301, 1.08851e-19
200, 0.240789, 6.41573e-10, 4.99932, 1.08851e-19
200, 0.252263, 6.42326e-10, 4.99228, 1.08851e-19
200, 0.263737, 6.42714e-10, 4.98867, 1.08851e-19
200, 0.275211, 6.42913e-10, 4.98681, 1.08851e-19
200, 0.286684, 6.43016e-10, 4.98586, 1.08851e-19
200, 0.298158, 6.43069e-10, 4.98537, 1.08851e-19
200, 0.309632, 6.43096e-10, 4.98511, 1.08851e-19
200, 0.321105, 6.4311e-10, 4.98498, 1.08851e-19
200, 0.332579, 6.43117e-10, 4.98492, 1.08851e-19
200, 0.344053, 6.43121e-10, 4.98488, 1.08851e-19
200, 0.355526, 6.43122e-10, 4.98486, 1.08851e-19
200, 0.367, 6.43123e-10, 4.98486, 1.08851e-19
200, 0.378474, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.389947, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.401421, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.412895, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.424368, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.435842, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.447316, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.458789, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.470263, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.481737, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.493211, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.504684, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.516158, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.527632, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.539105, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.550579, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.562053, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.573526, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.585, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.596474, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.607947, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.619421, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.630895, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.642368, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.653842, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.665316, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.676789, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.688263, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.699737, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.711211, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.722684, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.734158, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.745632, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.757105, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.768579, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.780053, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.791526, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.803, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.814474, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.825947, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.837421, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.848895, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.860368, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.871842, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.883316, 6.43124e-10, 4.98485, 1.08851e-19
200, 0.894789, 6.43123e-10, 4.98486, 1.08851e-19
200, 0.906263, 6.43121e-10, 4.98487, 1.08851e-19
200, 0.917737, 6.43119e-10, 4.9849, 1.08851e-19
200, 0.929211, 6.43113e-10, 4.98495, 1.08851e-19
200, 0.940684, 6.43102e-10, 4.98506, 1.08851e-19
200, 0.952158, 6.43081e-10, 4.98525, 1.08851e-19
200, 0.963632, 6.4304e-10, 4.98564, 1.08851e-19
200, 0.975105, 6.42959e-10, 4.98639, 1.08851e-19
200, 0.986579, 6.42803e-10, 4.98784, 1.08851e-19
200, 0.998053, 6.42498e-10, 4.99068, 1.08851e-19
200, 1.00953, 6.41906e-10, 4.99621, 1.08851e-19
200, 1.021, 6.40752e-10, 5.007, 1.08851e-19
200, 1.03247, 6.38505e-10, 5.02814, 1.08851e-19
200, 1.04395, 6.34124e-10, 5.0698, 1.08851e-19
200, 1.05542, 6.25563e-10, 5.15286, 1.08851e-19
200, 1.06689, 6.08773e-10, 5.32255, 1.08851e-19
200, 1.07837, 5.75595e-10, 5.68699, 1.08851e-19
200, 1.08984, 5.09046e-10, 6.5612, 1.08851e-19
200, 1.10132, 3.71472e-10, 9.3615, 1.08851e-19
200, 1.11279, 6.84469e-11, 55.2334, 1.08851e-19
200, 1.12426, 2.08341e-13, 17656.3, 5.12196e-09
200, 1.13574, -3.70487e-09, -2.0389, 1.08851e-19
200, 1.14721, 3.05495e-08, -0.874008, 1.08851e-19
200, 1.15868, 6.56685e-09, -0.413874, 1.08851e-19
300, 0.0227404, 3.47316e-13, 11081.1, 3.34491e-19
300, 0.0339856, 5.36489e-13, 7173.43, 3.34491e-19
300, 0.0452308, 8.28622e-13, 4644.07, 3.34491e-19
300, 0.056476, 1.27964e-12, 3006.87, 3.34491e-19
300, 0.0677212, 1.97571e-12, 1947.16, 3.34491e-19
300, 0.0789663, 3.04935e-12, 1261.23, 3.34491e-19
300, 0.0902115, 4.70392e-12, 817.253, 3.34491e-19
300, 0.101457, 7.25029e-12, 529.875, 3.34491e-19
300, 0.112702, 1.1161e-11, 343.863, 3.34491e-19
300, 0.123947, 1.71477e-11, 223.462, 3.34491e-19
300, 0.135192, 2.62677e-11, 145.53, 3.34491e-19
300, 0.146437, 4.00578e-11, 95.0861, 3.34491e-19
300, 0.157683, 6.06761e-11, 62.4352, 3.34491e-19
300, 0.168928, 9.09905e-11, 41.3011, 3.34491e-19
300, 0.180173, 1.34479e-10, 27.6216, 3.34491e-19
300, 0.191418, 1.94717e-10, 18.7672, 3.34491e-19
300, 0.202663, 2.74225e-10, 13.0359, 3.34491e-19
300, 0.213909, 3.7274e-10, 9.32625, 3.34491e-19
300, 0.225154, 4.85674e-10, 6.92507, 3.34491e-19
300, 0.236399, 6.04159e-10, 5.37084, 3.34491e-19
300, 0.247644, 7.1745e-10, 4.36483, 3.34491e-19
300, 0.258889, 8.16562e-10, 3.71367, 3.34491e-19
300, 0.270135, 8.96746e-10, 3.29219, 3.34491e-19
300, 0.28138, 9.57612e-10, 3.01937, 3.34491e-19
300, 0.292625, 1.00162e-09, 2.84279, 3.34491e-19
300, 0.30387, 1.03232e-09, 2.72849, 3.34491e-19
300, 0.315115, 1.05322e-09, 2.65451, 3.34491e-19
300, 0.326361, 1.0672e-09, 2.60662, 3.34491e-19
300, 0.337606, 1.07646e-09, 2.57562, 3.34491e-19
300, 0.348851, 1.08253e-09, 2.55556, 3.34491e-19
300, 0.360096, 1.0865e-09, 2.54257, 3.34491e-19
300, 0.371341, 1.08908e-09, 2.53417, 3.34491e-19
300, 0.382587, 1.09076e-09, 2.52873, 3.34491e-19
300, 0.393832, 1.09185e-09, 2.52521, 3.34491e-19
300, 0.405077, 1.09256e-09, 2.52293, 3.34491e-19
300, 0.416322, 1.09302e-09, 2.52145, 3.34491e-19
300, 0.427567, 1.09331e-09, 2.5205, 3.34491e-19
300, 0.438813, 1.0935e-09, 2.51988, 3.34491e-19
300, 0.450058, 1.09363e-09, 2.51948, 3.34491e-19
300, 0.461303, 1.09371e-09, 2.51922, 3.34491e-19
