Temperature, Et, tn0, k, chi2
463, 0.0461313, 1.29877e-08, 10930.6, 0.000311311
463, 0.0569086, 1.70148e-08, 8343.28, 0.000311311
463, 0.067686, 2.22902e-08, 6368.45, 0.000311311
463, 0.0784634, 2.92006e-08, 4861.09, 0.000311311
463, 0.0892408, 3.82526e-08, 3710.54, 0.000311311
463, 0.100018, 5.01091e-08, 2832.34, 0.000311311
463, 0.110796, 6.56378e-08, 2162.02, 0.000311311
463, 0.121573, 8.59742e-08, 1650.38, 0.000311311
463, 0.13235, 1.12603e-07, 1259.85, 0.000311311
463, 0.143128, 1.47467e-07, 961.763, 0.000311311
463, 0.153905, 1.93102e-07, 734.238, 0.000311311
463, 0.164682, 2.52819e-07, 560.571, 0.000311311
463, 0.17546, 3.30936e-07, 428.014, 0.000311311
463, 0.186237, 4.33072e-07, 326.835, 0.000311311
463, 0.197015, 5.6653e-07, 249.606, 0.000311311
463, 0.207792, 7.40775e-07, 190.659, 0.000311311
463, 0.218569, 9.68029e-07, 145.665, 0.000311311
463, 0.229347, 1.26401e-06, 111.322, 0.000311311
463, 0.240124, 1.64881e-06, 85.1083, 0.000311311
463, 0.250901, 2.1479e-06, 65.0998, 0.000311311
463, 0.261679, 2.79329e-06, 49.8276, 0.000311311
463, 0.272456, 3.62456e-06, 38.1705, 0.000311311
463, 0.283234, 4.68988e-06, 29.2728, 0.000311311
463, 0.294011, 6.04633e-06, 22.4814, 0.000311311
463, 0.304788, 7.7593e-06, 17.2975, 0.000311311
463, 0.315566, 9.90016e-06, 13.3408, 0.000311311
463, 0.326343, 1.25413e-05, 10.3206, 0.000311311
463, 0.33712, 1.57481e-05, 8.01543, 0.000311311
463, 0.347898, 1.9567e-05, 6.25588, 0.000311311
463, 0.358675, 2.40114e-05, 4.91285, 0.000311311
463, 0.369453, 2.90474e-05, 3.88773, 0.000311311
463, 0.38023, 3.45839e-05, 3.10527, 0.000311311
463, 0.391007, 4.04717e-05, 2.50803, 0.000311311
463, 0.401785, 4.65165e-05, 2.05216, 0.000311311
463, 0.412562, 5.25019e-05, 1.70421, 0.000311311
463, 0.423339, 5.82199e-05, 1.43862, 0.000311311
463, 0.434117, 6.34985e-05, 1.2359, 0.000311311
463, 0.444894, 6.82196e-05, 1.08116, 0.000311311
463, 0.455672, 7.2324e-05, 0.963056, 0.000311311
463, 0.466449, 7.58051e-05, 0.872907, 0.000311311
