NA=1e+17 Nt=1e+14 Et=0.24 sigmaN=2e-14 sigmaP=4e-15 deltaNPowers:[12,19] temp:[100,700] tempStep=100
7e+17 2.89224e-09 1.91637e-09 1.55649e-09 1.38987e-09 1.48393e-09 2.10632e-09 3.62919e-09
8e+17 2.9052e-09 1.93936e-09 1.57602e-09 1.40211e-09 1.46812e-09 2.00835e-09 3.35192e-09
9e+17 2.91537e-09 1.9577e-09 1.59165e-09 1.41191e-09 1.45547e-09 1.92998e-09 3.1301e-09
1e+18 2.92358e-09 1.97269e-09 1.60443e-09 1.41992e-09 1.44512e-09 1.86586e-09 2.94862e-09
2e+18 2.9612e-09 2.04374e-09 1.66524e-09 1.45806e-09 1.39584e-09 1.56055e-09 2.08444e-09
3e+18 2.974e-09 2.06883e-09 1.68681e-09 1.47159e-09 1.37835e-09 1.45222e-09 1.77781e-09
4e+18 2.98045e-09 2.08166e-09 1.69784e-09 1.47852e-09 1.3694e-09 1.39674e-09 1.62075e-09
5e+18 2.98433e-09 2.08945e-09 1.70455e-09 1.48273e-09 1.36396e-09 1.36301e-09 1.52529e-09
6e+18 2.98693e-09 2.09468e-09 1.70906e-09 1.48556e-09 1.3603e-09 1.34035e-09 1.46113e-09
7e+18 2.98879e-09 2.09844e-09 1.7123e-09 1.4876e-09 1.35767e-09 1.32406e-09 1.41504e-09
8e+18 2.99018e-09 2.10127e-09 1.71474e-09 1.48913e-09 1.35569e-09 1.3118e-09 1.38033e-09
9e+18 2.99127e-09 2.10347e-09 1.71664e-09 1.49032e-09 1.35415e-09 1.30224e-09 1.35325e-09
1e+19 2.99214e-09 2.10524e-09 1.71817e-09 1.49128e-09 1.35291e-09 1.29456e-09 1.33153e-09
2e+19 2.99606e-09 2.11324e-09 1.72508e-09 1.49562e-09 1.3473e-09 1.25983e-09 1.2332e-09
3e+19 2.99738e-09 2.11593e-09 1.72739e-09 1.49707e-09 1.34542e-09 1.24817e-09 1.20021e-09
4e+19 2.99803e-09 2.11727e-09 1.72855e-09 1.4978e-09 1.34448e-09 1.24233e-09 1.18367e-09
5e+19 2.99842e-09 2.11808e-09 1.72925e-09 1.49824e-09 1.34391e-09 1.23882e-09 1.17374e-09
6e+19 2.99869e-09 2.11862e-09 1.72972e-09 1.49853e-09 1.34353e-09 1.23648e-09 1.16711e-09
7e+19 2.99887e-09 2.11901e-09 1.73005e-09 1.49874e-09 1.34326e-09 1.2348e-09 1.16237e-09
8e+19 2.99902e-09 2.11929e-09 1.7303e-09 1.4989e-09 1.34306e-09 1.23355e-09 1.15881e-09
9e+19 2.99912e-09 2.11952e-09 1.73049e-09 1.49902e-09 1.3429e-09 1.23257e-09 1.15605e-09
