Temperature, Et, tn0, k, chi2
453, 0.0878003, 6.56855e-09, 5515.3, 8.6778e-05
453, 0.098609, 8.66278e-09, 4181.73, 8.6778e-05
453, 0.109418, 1.14242e-08, 3170.7, 8.6778e-05
453, 0.120226, 1.50649e-08, 2404.2, 8.6778e-05
453, 0.131035, 1.98642e-08, 1823.09, 8.6778e-05
453, 0.141844, 2.61898e-08, 1382.52, 8.6778e-05
453, 0.152652, 3.45248e-08, 1048.51, 8.6778e-05
453, 0.163461, 4.55042e-08, 795.281, 8.6778e-05
453, 0.17427, 5.99605e-08, 603.3, 8.6778e-05
453, 0.185079, 7.89843e-08, 457.751, 8.6778e-05
453, 0.195887, 1.04e-07, 347.404, 8.6778e-05
453, 0.206696, 1.36863e-07, 263.747, 8.6778e-05
453, 0.217505, 1.79981e-07, 200.322, 8.6778e-05
453, 0.228313, 2.36457e-07, 152.238, 8.6778e-05
453, 0.239122, 3.10269e-07, 115.783, 8.6778e-05
453, 0.249931, 4.06463e-07, 88.145, 8.6778e-05
453, 0.260739, 5.31357e-07, 67.1917, 8.6778e-05
453, 0.271548, 6.92732e-07, 51.3061, 8.6778e-05
453, 0.282357, 8.99944e-07, 39.2626, 8.6778e-05
453, 0.293165, 1.16389e-06, 30.132, 8.6778e-05
453, 0.303974, 1.49668e-06, 23.2097, 8.6778e-05
453, 0.314783, 1.91092e-06, 17.9616, 8.6778e-05
453, 0.325591, 2.41837e-06, 13.9829, 8.6778e-05
453, 0.3364, 3.02798e-06, 10.9664, 8.6778e-05
453, 0.347209, 3.74338e-06, 8.67951, 8.6778e-05
453, 0.358018, 4.5602e-06, 6.94572, 8.6778e-05
453, 0.368826, 5.46413e-06, 5.63127, 8.6778e-05
453, 0.379635, 6.4305e-06, 4.63473, 8.6778e-05
453, 0.390444, 7.42622e-06, 3.87921, 8.6778e-05
453, 0.401252, 8.41397e-06, 3.30642, 8.6778e-05
453, 0.412061, 9.35757e-06, 2.87217, 8.6778e-05
453, 0.42287, 1.02271e-05, 2.54295, 8.6778e-05
453, 0.433678, 1.10022e-05, 2.29335, 8.6778e-05
453, 0.444487, 1.16729e-05, 2.10412, 8.6778e-05
453, 0.455296, 1.22385e-05, 1.96066, 8.6778e-05
453, 0.466104, 1.27053e-05, 1.85189, 8.6778e-05
453, 0.476913, 1.30836e-05, 1.76943, 8.6778e-05
453, 0.487722, 1.33857e-05, 1.70692, 8.6778e-05
453, 0.49853, 1.36243e-05, 1.65952, 8.6778e-05
453, 0.509339, 1.38109e-05, 1.62359, 8.6778e-05
453, 0.520148, 1.39558e-05, 1.59635, 8.6778e-05
453, 0.530957, 1.40677e-05, 1.5757, 8.6778e-05
453, 0.541765, 1.41537e-05, 1.56005, 8.6778e-05
453, 0.552574, 1.42196e-05, 1.54818, 8.6778e-05
453, 0.563383, 1.427e-05, 1.53918, 8.6778e-05
453, 0.574191, 1.43084e-05, 1.53236, 8.6778e-05
453, 0.585, 1.43377e-05, 1.5272, 8.6778e-05
453, 0.595809, 1.43599e-05, 1.52329, 8.6778e-05
453, 0.606617, 1.43768e-05, 1.52033, 8.6778e-05
453, 0.617426, 1.43895e-05, 1.51809, 8.6778e-05
453, 0.628235, 1.43992e-05, 1.5164, 8.6778e-05
453, 0.639043, 1.44064e-05, 1.51513, 8.6778e-05
453, 0.649852, 1.44119e-05, 1.51419, 8.6778e-05
453, 0.660661, 1.44159e-05, 1.51349, 8.6778e-05
453, 0.67147, 1.44187e-05, 1.51299, 8.6778e-05
453, 0.682278, 1.44207e-05, 1.51264, 8.6778e-05
453, 0.693087, 1.44219e-05, 1.51243, 8.6778e-05
453, 0.703896, 1.44225e-05, 1.51233, 8.6778e-05
453, 0.714704, 1.44225e-05, 1.51234, 8.6778e-05
453, 0.725513, 1.44218e-05, 1.51245, 8.6778e-05
453, 0.736322, 1.44205e-05, 1.51268, 8.6778e-05
453, 0.74713, 1.44184e-05, 1.51304, 8.6778e-05
453, 0.757939, 1.44154e-05, 1.51357, 8.6778e-05
453, 0.768748, 1.44112e-05, 1.5143, 8.6778e-05
453, 0.779556, 1.44056e-05, 1.51528, 8.6778e-05
453, 0.790365, 1.4398e-05, 1.51661, 8.6778e-05
453, 0.801174, 1.43879e-05, 1.51837, 8.6778e-05
453, 0.811982, 1.43745e-05, 1.52072, 8.6778e-05
